title	url	release_date	genre_count	genre	rating	keywords	budget	revenue
Raya and the Last Dragon	https://www.themoviedb.org/movie/527774	Mar 03, 2021	5	Family,Fantasy,Animation,Action,Adventure	81.0	7	 100,000,000.00	 130,000,000.00
The Amazing Spider-Man	https://www.themoviedb.org/movie/1930	Jun 23, 2012	3	Action,Adventure,Fantasy	66.0	12	 215,000,000.00	 757,930,663.00
Confessions of an Invisible Girl	https://www.themoviedb.org/movie/786705	Sep 22, 2021	2	Comedy,Drama	68.0	1	 -	 -
The Simpsons: The Good, the Bart, and the Loki	https://www.themoviedb.org/movie/846214	Jul 07, 2021	3	Animation,Comedy,Family	77.0	3	 -	 -
Sinkhole	https://www.themoviedb.org/movie/623135	Aug 11, 2021	2	Comedy,Drama	69.0	3	 -	 -
Sounds Like Love	https://www.themoviedb.org/movie/776909	Sep 29, 2021	2	Comedy,Romance	67.0	0	 -	 -
My Hero Academia: Heroes Rising	https://www.themoviedb.org/movie/592350	Dec 20, 2019	4	Animation,Action,Fantasy,Adventure	85.0	7	 -	 29,900,850.00
The Marksman	https://www.themoviedb.org/movie/634528	Jan 15, 2021	3	Action,Thriller,Crime	72.0	10	 23,000,000.00	 22,039,969.00
Body Brokers	https://www.themoviedb.org/movie/656940	Feb 19, 2021	2	Thriller,Crime	66.0	0	 -	 -
Candyman	https://www.themoviedb.org/movie/565028	Aug 25, 2021	2	Horror,Thriller	64.0	6	 25,000,000.00	 75,000,000.00
El mesero	https://www.themoviedb.org/movie/678580	Jul 15, 2021	1	Comedy	83.0	0	 -	 -
Mutation on Mars	https://www.themoviedb.org/movie/866408	Aug 27, 2021	2	Drama,Science Fiction	60.0	0	 -	 -
